Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Chad,TCD,114.4266069410064,117.7909791497046,103.63951125173756,105.51773242169978,108.30379739185364,106.92439298115539,103.97910610962566,105.78200906472269,101.82341020536442,101.08605856209032,115.13748051720943,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Islas del Canal,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Chile,CHL,97.566780268568081,98.252421851441426,100.02812896145305,100.57452983815665,99.051088395074871,100.21957809408435,99.3907857244814,98.7803269334361,100.30725566646494,100.82823982816431,94.752099732765728,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,China,CHN,97.806971821880637,97.143816771361031,97.367878895660382,98.116096344878514,98.348895768111348,97.2256970846444,97.670114444216409,97.880905819091709,98.851163460440148,99.269678916249845,98.366198281039644,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Colombia,COL,97.052472323024887,100.83680603843072,101.21274045133795,101.81376935497184,104.2179674218084,107.06034109945158,106.76837442780689,104.99233544565772,104.73531344181097,105.81668973979357,106.61088026679317,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Comoras,COM,118.08417110306269,118.0845332691742,122.91868045986467,121.14652084638324,119.88287884090924,117.53255545750399,115.7870885620414,116.36172602441941,117.17810736317102,116.70470113683633,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,"Congo, República Democrática del",COD,..,104.11517886007144,106.74569336180649,104.5742225274016,105.02594125693221,106.08769651310566,106.07191539437576,103.70288463970078,103.59050274291614,103.70226829651261,101.28216912218433,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,"Congo, República del",COG,67.264635170603668,57.698537958560522,81.280379505532238,87.134181386524389,97.929602357278284,137.23729002301724,140.77880035785421,97.097222064348429,77.976624421914991,79.371035128623191,101.60124429421352,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Costa Rica,CRI,106.904608395673,100.66427917137959,103.74590462346573,102.88311186531251,102.46541148623891,100.76224621008221,99.658285575904088,99.5465874478492,99.468320464237209,98.127327722712423,98.305035180110849,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Côte d'Ivoire,CIV,95.421747385821959,99.383874502629183,100.33610852235269,100.03187393764566,97.366500032067023,98.004566909656774,98.325467527755023,98.700534568341,100.78612100092525,98.848359333346409,98.912223897330136,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Croacia,HRV,..,104.49545415867728,101.60270765366104,102.00105595416875,100.37728378788862,99.7831832169953,98.872771586032513,99.379847604569107,100.83165046653937,100.30869499057266,106.75805220587968,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Cuba,CUB,109.70536723054866,102.81568309264723,94.8442050286433,96.12303624202832,95.106377702836738,97.319041006277757,97.3043668600197,97.121351354141922,98.037981009495255,98.393085044668766,99.34607645875252,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Curacao,CUW,..,..,124.26440702400964,119.83529967610498,113.08830060449839,114.99276230470679,116.72252803299914,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Chipre,CYP,105.60707927571488,97.5692547254214,101.91308197198086,98.4195358624442,99.061483138337053,97.383806348471282,98.3049171286479,100.48327850733668,98.699573276660217,99.7866183142321,102.53247437903894,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,República Checa,CZE,95.75030117469413,101.86435926243635,95.236483445963131,94.305653818144251,93.666433029297949,94.058107250910084,92.3721140834873,92.47837349676945,94.060168235925886,94.010273648492287,93.168290107433862,..
